Epoch,Train Loss,Valid Loss,Train Acc,Valid Acc,Train F1,Valid F1
1,1.8052693503243582,1.7973508834838867,0.17142857142857143,0.15555555555555556,0.13233057554467717,0.04530744336569579
2,1.8070805640447707,1.792712148030599,0.1738095238095238,0.1,0.16649650466921234,0.0808796867620397
3,1.7862088680267334,1.7882212532891169,0.18333333333333332,0.2222222222222222,0.17532852665844714,0.15943271395627776
4,1.7914059922808692,1.7797723929087321,0.17857142857142858,0.28888888888888886,0.15974406031485563,0.24237577403880242
5,1.7684692337399437,1.7668300257788765,0.20952380952380953,0.25555555555555554,0.18915348168221732,0.17348748269800904
6,1.7609262807028634,1.7607756641176011,0.23333333333333334,0.2111111111111111,0.22769320075248858,0.14688029532800775
7,1.7239785864239647,1.748737637201945,0.2976190476190476,0.17777777777777778,0.2708021205367213,0.16679399032340206
8,1.6963450204758417,1.73660462697347,0.2833333333333333,0.2222222222222222,0.2758050533080379,0.2158051487705546
9,1.6755674339476085,1.7183935271369086,0.28095238095238095,0.25555555555555554,0.2816551383449742,0.2198098886766748
10,1.684496556009565,1.7100597302118936,0.27380952380952384,0.23333333333333334,0.2664687360301355,0.19130361559147166
11,1.6368093331654867,1.689627965291341,0.3261904761904762,0.32222222222222224,0.31107919631827247,0.2950996266213658
12,1.615195986202785,1.6667704317304823,0.30952380952380953,0.32222222222222224,0.30583912890832027,0.2978049564805975
13,1.5507774216788155,1.6628403504689535,0.38095238095238093,0.32222222222222224,0.37728599967312926,0.271504303419197
14,1.5381890626180739,1.6587700949774848,0.37142857142857144,0.28888888888888886,0.3664564333966263,0.28304876724231565
15,1.5244007473900205,1.6306577258639865,0.3952380952380952,0.3111111111111111,0.3899939006413764,0.30112081431684784
16,1.5018552053542364,1.6443212191263834,0.38333333333333336,0.34444444444444444,0.3783147156582382,0.3349006149006149
17,1.4614503485815866,1.5602533181508382,0.3952380952380952,0.4111111111111111,0.39146086938988894,0.39932493540051683
18,1.412810586747669,1.5774123324288263,0.430952380952381,0.3333333333333333,0.42794674242775504,0.3116797961759202
19,1.3952094123477028,1.6111903296576606,0.45,0.32222222222222224,0.44361942087555795,0.3209020666296208
20,1.3609013614200411,1.6784424251980252,0.46190476190476193,0.34444444444444444,0.4602133186382997,0.31502309783385435
21,1.3622060798463367,1.4837589475843642,0.45476190476190476,0.4666666666666667,0.4505680617090164,0.4669025073296622
22,1.2926916167849587,1.5590584754943848,0.4976190476190476,0.4111111111111111,0.49246312977411977,0.41710857857784395
23,1.3069226912089758,1.516047215461731,0.5119047619047619,0.4111111111111111,0.5126769244905461,0.40106586918181114
24,1.2008054307528904,1.5985980828603108,0.5261904761904762,0.4222222222222222,0.5265782615346382,0.40662518037518036
25,1.2622732321421306,1.4497256543901231,0.5333333333333333,0.4444444444444444,0.5305495864404765,0.4470927539893057
26,1.178893038204738,1.4118414084116617,0.5214285714285715,0.45555555555555555,0.524184067115976,0.45176400745028195
27,1.170243121328808,1.4243595547146268,0.5285714285714286,0.4111111111111111,0.5314263421296336,0.40598715376304506
28,1.08920685450236,1.4232747183905707,0.6,0.4888888888888889,0.5969765108589006,0.4793427172331837
29,1.0711585141363598,1.4324543793996176,0.580952380952381,0.4777777777777778,0.5796112102055416,0.4794785988334375
30,1.0801418758573986,1.3152092933654784,0.569047619047619,0.4888888888888889,0.5709116972119154,0.48867916918733617
31,1.0310246830894834,1.3365438991122776,0.6142857142857143,0.5333333333333333,0.6126489476332573,0.5360662868224876
32,0.9901796499888103,1.3061249627007379,0.6333333333333333,0.5,0.6335417989204354,0.49366808974102105
33,0.9475524289267404,1.3433659897910224,0.6452380952380953,0.4888888888888889,0.644881646367215,0.4773547144956174
34,0.9301381281444004,1.3692678557501898,0.6571428571428571,0.4777777777777778,0.6582853852057954,0.465178379471233
35,0.9090457127207802,1.3328286435869006,0.6761904761904762,0.5,0.6755325847494021,0.49581437081437074
36,0.8648167570432027,1.3633087423112658,0.6880952380952381,0.5333333333333333,0.6879155533593385,0.5290267278773025
37,0.8672187799499148,1.3313679589165581,0.6976190476190476,0.5333333333333333,0.6968233998159575,0.5291646584409743
38,0.8299552395230247,1.3503852579328748,0.6976190476190476,0.5222222222222223,0.6956086721538902,0.508410581327248
39,0.8334742546081543,1.307050143347846,0.6976190476190476,0.5777777777777777,0.694878697986148,0.567140173733311
40,0.792976118162984,1.3241949134402804,0.7071428571428572,0.5222222222222223,0.7039797587033748,0.5105814935216024
41,0.7703694278285617,1.3421566433376737,0.7142857142857143,0.5444444444444444,0.7128914748498082,0.5306227673255538
42,0.7764395742189316,1.3533019065856933,0.6857142857142857,0.5555555555555556,0.6842504017403321,0.5453770408298272
43,0.7829989583719345,1.3529288662804497,0.7238095238095238,0.5555555555555556,0.7232988602137875,0.5442756104520811
44,0.7683885094665346,1.3503604729970295,0.7357142857142858,0.5555555555555556,0.7336617795303564,0.5434636446401152
45,0.7913933975355966,1.3508836640252007,0.6928571428571428,0.5555555555555556,0.6904948662301383,0.5434636446401152
