Epoch,Train Loss,Valid Loss,Test Loss,Train Acc,Valid Acc,Test Acc,Train F1,Valid F1,Test F1
1,1.7989315294084094,1.79366045527988,1.7952134503258599,0.1523809523809524,0.16666666666666666,0.16666666666666666,0.05439738255272236,0.04807692307692307,0.0495049504950495
2,1.794453267824082,1.7917982631259495,1.7933531257841322,0.16666666666666666,0.15555555555555556,0.2111111111111111,0.07752555422806319,0.07777777777777778,0.1019047619047619
3,1.793648356483096,1.7895673751831054,1.7918057441711426,0.16428571428571428,0.16666666666666666,0.2222222222222222,0.06643625192012288,0.085177733065057,0.11750881316098709
4,1.795692793528239,1.7879753245247736,1.7898892217212252,0.1619047619047619,0.17777777777777778,0.14444444444444443,0.12232006157633174,0.12224050459344578,0.09649827863845854
5,1.7895400070008778,1.7852879365285237,1.788107278611925,0.18095238095238095,0.18888888888888888,0.16666666666666666,0.12058079577970464,0.10564964817542137,0.04854368932038835
6,1.7913964941388085,1.7815706200069852,1.7859607166714138,0.16666666666666666,0.25555555555555554,0.18888888888888888,0.12411188820892828,0.1777883951796995,0.08837719298245612
7,1.7872669742220924,1.7788552867041694,1.7842415041393704,0.19523809523809524,0.2222222222222222,0.2,0.1534334759113367,0.12401015986851933,0.1090686274509804
8,1.783360759417216,1.7706400553385417,1.7789832300610013,0.20714285714285716,0.25555555555555554,0.17777777777777778,0.1752722941975632,0.21624707764242648,0.1487525242655202
9,1.7807794729868571,1.7685882144504124,1.776796383327908,0.21904761904761905,0.23333333333333334,0.23333333333333334,0.19311243567886768,0.15,0.14235688528284876
10,1.767194143931071,1.7414133813646104,1.7692500485314264,0.2119047619047619,0.25555555555555554,0.18888888888888888,0.17226783833395778,0.1833943833943834,0.12008584528338699
11,1.7640752985363914,1.707302909427219,1.7422830555174085,0.2357142857142857,0.26666666666666666,0.2222222222222222,0.22463243360661864,0.19476190476190477,0.17496063877642823
12,1.7354083129337856,1.6903619130452474,1.73306016392178,0.2357142857142857,0.28888888888888886,0.17777777777777778,0.20203034194194883,0.22267206477732793,0.13265473265473265
13,1.7327104341416133,1.6958999739752876,1.729856710963779,0.25476190476190474,0.24444444444444444,0.28888888888888886,0.22743754036326794,0.19323321532511054,0.25212908911716764
14,1.7054320630573092,1.689216669400533,1.7020387437608506,0.2619047619047619,0.3,0.2777777777777778,0.2538477164518831,0.27022144522144526,0.22349914236706692
15,1.6860629740215483,1.669477437602149,1.7202698495652942,0.2714285714285714,0.3,0.24444444444444444,0.2637827712320035,0.254227616972715,0.2090630302464235
16,1.6750886088325865,1.6615258746676975,1.7187593460083008,0.3261904761904762,0.2777777777777778,0.26666666666666666,0.2923509551995169,0.26453037801129003,0.21317829457364343
17,1.6856172993069602,1.6551966375774807,1.6932716634538438,0.2833333333333333,0.35555555555555557,0.35555555555555557,0.2649162274848454,0.34358543227709065,0.3238874662501665
18,1.6720351457595826,1.6510539240307278,1.6860842943191527,0.30238095238095236,0.34444444444444444,0.32222222222222224,0.29054478711842086,0.32244268077601407,0.30674237372350577
19,1.6535415785653251,1.6633266819847954,1.7339455074734158,0.3047619047619048,0.26666666666666666,0.24444444444444444,0.2883179565394493,0.21521942110177403,0.16662309368191722
20,1.6442586013248988,1.6468591001298694,1.670558712217543,0.2857142857142857,0.34444444444444444,0.32222222222222224,0.2734357829143443,0.32959985485684845,0.29543880230154745
21,1.627037349201384,1.6388448410563998,1.645533514022827,0.3619047619047619,0.32222222222222224,0.28888888888888886,0.33203096198233,0.28118637353931475,0.252428664628654
22,1.616322644551595,1.640924510690901,1.631009030342102,0.3380952380952381,0.28888888888888886,0.34444444444444444,0.3375876447467565,0.26001279986787235,0.32067096606084294
23,1.5868783791859944,1.6186745868788825,1.6455856058332654,0.38571428571428573,0.36666666666666664,0.3333333333333333,0.38024382878625373,0.36401521406876364,0.3499315114149206
24,1.5715794381641206,1.6291815784242418,1.618592898050944,0.3619047619047619,0.34444444444444444,0.35555555555555557,0.3535066773414101,0.3370794689943626,0.30882712789654054
25,1.5385887690952846,1.6019440677430894,1.5853814019097223,0.4023809523809524,0.34444444444444444,0.36666666666666664,0.39450928854064277,0.3320839110054796,0.34181305259736633
26,1.5022048768543061,1.538720390531752,1.553959321975708,0.4119047619047619,0.4222222222222222,0.35555555555555557,0.41195082319055937,0.37456055828721363,0.3389738192828921
27,1.4504325560161047,1.5137842482990689,1.545810616016388,0.4095238095238095,0.37777777777777777,0.37777777777777777,0.3988753973205313,0.35848274951723225,0.3683743417076751
28,1.4281151203882128,1.5157017906506856,1.5355592144860162,0.44285714285714284,0.35555555555555557,0.3888888888888889,0.4444927358709816,0.33754845069500244,0.3574409508620035
29,1.3957711526325771,1.5116320689519247,1.4815050111876593,0.46190476190476193,0.4,0.37777777777777777,0.45639809151070043,0.39549274549274555,0.38601249500563
30,1.3568493411654519,1.497621652815077,1.5305779814720153,0.49523809523809526,0.36666666666666664,0.25555555555555554,0.49173084118928245,0.3560358645562012,0.22568025892834076
31,1.345046465737479,1.479823076725006,1.4815447794066534,0.5,0.3888888888888889,0.45555555555555555,0.493494633935011,0.41102150537634413,0.46072689550950424
32,1.312378378141494,1.497032090028127,1.4980574859513176,0.49523809523809526,0.45555555555555555,0.37777777777777777,0.494046035097433,0.43660824813094073,0.37562550146384277
33,1.2934446505137853,1.4727815283669365,1.4673451900482177,0.5404761904761904,0.4888888888888889,0.4222222222222222,0.5392123369316385,0.48057693161141435,0.4384313217646551
34,1.2783751771563576,1.4734883957438998,1.4746427443292407,0.5333333333333333,0.5,0.37777777777777777,0.52988159044759,0.4973795458087183,0.3874311681231751
35,1.2316782037417093,1.466319743792216,1.4926032741864523,0.5595238095238095,0.3888888888888889,0.4111111111111111,0.5597287052203861,0.3888713834950394,0.4057186377745737
36,1.2220150890804473,1.4742689861191645,1.476603615283966,0.5285714285714286,0.45555555555555555,0.3888888888888889,0.526708372428023,0.46606842685274064,0.39831286599579285
37,1.225663853826977,1.4632168743345473,1.487307431962755,0.5714285714285714,0.4444444444444444,0.3888888888888889,0.5744254343620484,0.4341614478711253,0.395083408271814
38,1.1911587499436878,1.4657969342337713,1.495133470164405,0.5666666666666667,0.4111111111111111,0.36666666666666664,0.5640629349108229,0.408912687011159,0.3707047890381224
39,1.2128621555510022,1.453983375761244,1.4863550371593899,0.5666666666666667,0.4111111111111111,0.43333333333333335,0.5671691137023294,0.41451336583182424,0.4396918767507003
40,1.1923052027111962,1.4509103033277724,1.4723531272676256,0.5666666666666667,0.4444444444444444,0.43333333333333335,0.5645121857815544,0.44788002046284664,0.4406069452046464
41,1.1761559509095691,1.4469368166393703,1.476573850048913,0.5714285714285714,0.43333333333333335,0.4222222222222222,0.5714438118073916,0.4351874947722185,0.4267984756579109
42,1.183527914683024,1.4473529828919305,1.472112402651045,0.5857142857142857,0.45555555555555555,0.4111111111111111,0.5845111798455714,0.4577746646712164,0.4219233779856694
43,1.1935457348823548,1.4484675235218472,1.4708625859684414,0.5571428571428572,0.4666666666666667,0.4222222222222222,0.556612635566527,0.46696554641111776,0.43600637344797516
44,1.1548254773730324,1.449019682407379,1.471075783835517,0.5880952380952381,0.45555555555555555,0.4222222222222222,0.5843757254154656,0.4592999995298846,0.43600637344797516
45,1.1606010175886607,1.4488942994011773,1.4709371858172946,0.580952380952381,0.45555555555555555,0.4222222222222222,0.5800719452592689,0.4592999995298846,0.43600637344797516
