Epoch,Train Loss,Valid Loss,Train Acc,Valid Acc,Train F1,Valid F1
1,1.8079908280145554,1.7976565334531995,0.1523809523809524,0.15555555555555556,0.07239668221301941,0.04530744336569579
2,1.799480424608503,1.7937410487069023,0.17142857142857143,0.17777777777777778,0.12191668287073787,0.08757922360863536
3,1.790045682589213,1.7885412057240804,0.19523809523809524,0.18888888888888888,0.18257286130545025,0.15105431061313415
4,1.7836559647605532,1.7827111297183567,0.1761904761904762,0.2111111111111111,0.15734475288645056,0.11518826874978587
5,1.7783623570487612,1.7725099643071494,0.16666666666666666,0.16666666666666666,0.14053727556894688,0.1360533103411664
6,1.7530066683178855,1.7630216863420274,0.23809523809523808,0.23333333333333334,0.2143076488596005,0.1646776553975683
7,1.74429190158844,1.7447611543867323,0.25,0.2,0.21319731821549506,0.15053038983525577
8,1.7282735858644758,1.7383678754170735,0.2642857142857143,0.26666666666666666,0.2403454716544217,0.22492365323581295
9,1.6989698046729678,1.7307940933439467,0.30952380952380953,0.23333333333333334,0.3030568747895774,0.20327470327470323
10,1.673644731158302,1.721862244606018,0.3,0.26666666666666666,0.2607041008099677,0.21179830580393455
11,1.6500831456411453,1.7115804884168837,0.3,0.24444444444444444,0.277261272980672,0.16605353252412078
12,1.6454086371830532,1.7058241155412461,0.30952380952380953,0.2111111111111111,0.27487621599391,0.16767668504458136
13,1.610794380732945,1.6975203884972467,0.30952380952380953,0.26666666666666666,0.30317917084101315,0.19677688291020123
14,1.6115849370048159,1.7125139368904962,0.3380952380952381,0.2222222222222222,0.304068921590829,0.1578323047762776
15,1.6145564306349982,1.6705241600672405,0.34285714285714286,0.28888888888888886,0.29852749418731656,0.23064070698702013
16,1.5723265772774107,1.6563612620035808,0.3595238095238095,0.28888888888888886,0.3163352416472071,0.2284915094122255
17,1.5343958718436106,1.6595552338494195,0.4,0.23333333333333334,0.39473527836452704,0.20487944571698882
18,1.505143097468785,1.6448783821529813,0.38333333333333336,0.28888888888888886,0.3643273742196042,0.2344333630942769
19,1.461286501657395,1.6337971687316895,0.4142857142857143,0.25555555555555554,0.3908246675165857,0.2193539485206152
20,1.4474949303127471,1.611739550696479,0.4166666666666667,0.3,0.41331337697173537,0.27105601102608606
21,1.446937514486767,1.6186294873555502,0.42857142857142855,0.3111111111111111,0.40747182124547027,0.29420495353174175
22,1.4268335240227836,1.6044203016493055,0.430952380952381,0.32222222222222224,0.41620557831425065,0.2954780851332575
23,1.4166592859086535,1.6152092244890002,0.43333333333333335,0.3333333333333333,0.4201192722153533,0.32253448552299124
24,1.4199689547220866,1.6315275722079807,0.430952380952381,0.2777777777777778,0.4169929424760404,0.25649188830774505
25,1.3843253101621356,1.6033550606833564,0.45,0.35555555555555557,0.4441889679758762,0.33682661314845225
26,1.356318539664859,1.5997345871395534,0.4857142857142857,0.35555555555555557,0.4808821254941209,0.34011025613395907
27,1.360874324753171,1.5992692205641004,0.46904761904761905,0.3333333333333333,0.4530078777009932,0.30918981650548966
28,1.3616150685719082,1.5987059301800197,0.46904761904761905,0.3333333333333333,0.44938666993404036,0.3075553820993161
29,1.3515905834379651,1.5992763625250923,0.48333333333333334,0.3333333333333333,0.46798446294869755,0.3075553820993161
30,1.3514645701362973,1.5993672635820178,0.46904761904761905,0.3333333333333333,0.45049178277815116,0.3075553820993161
