Epoch,Train Loss,Valid Loss,Train Acc,Valid Acc,Train F1,Valid F1
1,3.2947829923964105,3.0728455698767374,0.1986644407345576,0.3488372093023256,0.06263380821587988,0.07389162561576355
2,2.1901282058136293,1.8609116058941035,0.335559265442404,0.3488372093023256,0.07297150117988746,0.07389162561576355
3,1.879703067578935,1.921046772668528,0.34056761268781305,0.31007751937984496,0.07637204065775495,0.10364512657339385
4,1.8532895759270467,1.8717447473097217,0.337228714524207,0.32558139534883723,0.09869039781811341,0.09538011187432978
5,1.8118937558841228,1.8570431461629942,0.337228714524207,0.34108527131782945,0.0886643822127693,0.07308970099667775
6,1.8016437164730141,1.8324630500734314,0.34056761268781305,0.3488372093023256,0.08305394369224155,0.07389162561576355
7,1.7642480103121776,1.8297114704930506,0.35392320534223703,0.34108527131782945,0.11544592228696857,0.07394957983193277
8,1.766658127009371,1.823663869569468,0.34724540901502504,0.35658914728682173,0.11384682098912405,0.09260797342192692
9,1.7496823862518411,1.83938505760459,0.35225375626043404,0.35658914728682173,0.11618375144056758,0.09217588769611891
10,1.720550387450968,1.8157960194949956,0.3606010016694491,0.3333333333333333,0.12911457700514037,0.07312925170068027
11,1.7098883625262966,1.8397512038548787,0.35225375626043404,0.34108527131782945,0.12682919341140983,0.07438715131022823
12,1.6906419582478391,1.8552512669748114,0.3589315525876461,0.32558139534883723,0.13640948501255784,0.07228915662650602
13,1.6765534533483157,1.8695415868315586,0.35392320534223703,0.3178294573643411,0.154239427031829,0.07056798623063683
14,1.6664457426644328,1.8629640220671662,0.3672787979966611,0.3333333333333333,0.15453786380513265,0.07401032702237521
15,1.6493308508336444,1.8562385407529136,0.37061769616026713,0.31007751937984496,0.15869528938516866,0.07011393514460999
