Epoch,Train Loss,Valid Loss,Test Loss,Train Acc,Valid Acc,Test Acc,Train F1,Valid F1,Test F1
1,1.8002608231135777,1.7917132722006903,1.79189789030287,0.15476190476190477,0.17777777777777778,0.17777777777777778,0.12393343341403418,0.09804573804573806,0.09753047276826604
2,1.8008146672021774,1.7864973545074463,1.7878699779510498,0.14285714285714285,0.16666666666666666,0.2111111111111111,0.11943178450277842,0.11848689296507132,0.15776945078020346
3,1.7944687400545394,1.7797027111053467,1.7837928374608358,0.19523809523809524,0.2222222222222222,0.2222222222222222,0.18211496463929625,0.17039964866051824,0.16616344605475042
4,1.7772879066921417,1.7695193555619981,1.7756283707088893,0.2,0.24444444444444444,0.2222222222222222,0.18828987958231772,0.20683621933621932,0.16498466810966808
5,1.7697585548673358,1.7596919510099622,1.7656807528601752,0.21666666666666667,0.28888888888888886,0.2111111111111111,0.21307795659819875,0.25306743909685087,0.13972165556008886
6,1.7702525275094168,1.7377396159701877,1.7519529581069946,0.1976190476190476,0.26666666666666666,0.16666666666666666,0.17701121122142324,0.26041412713994455,0.14132735445579123
7,1.738926006498791,1.7078321509891086,1.7460869524214002,0.24285714285714285,0.32222222222222224,0.26666666666666666,0.22894705473152663,0.26616096866096867,0.19901111474338018
8,1.72888415427435,1.6927505652109782,1.7341065221362644,0.24285714285714285,0.34444444444444444,0.25555555555555554,0.229236577817602,0.31516113386174843,0.2165481617563675
9,1.709600433849153,1.6710534069273206,1.721802544593811,0.2571428571428571,0.32222222222222224,0.32222222222222224,0.25007135103525585,0.25582400582400583,0.25088377465492695
10,1.684350696064177,1.650690566168891,1.6970835685729981,0.3119047619047619,0.3333333333333333,0.26666666666666666,0.28633735545500255,0.26904138640408665,0.18320105820105823
11,1.666605415798369,1.586919527583652,1.6302816285027397,0.3047619047619048,0.35555555555555557,0.34444444444444444,0.30048117916511957,0.3083089668615984,0.28556717859264147
12,1.6443797713234312,1.6165361271964178,1.651372030046251,0.30714285714285716,0.35555555555555557,0.36666666666666664,0.29202913823041626,0.28421524973249107,0.2959670354628338
13,1.6361989884149462,1.5389877690209284,1.5914182715945773,0.3357142857142857,0.4111111111111111,0.35555555555555557,0.32931133798856776,0.3791629230308476,0.3084931604700168
14,1.5611143407367525,1.5151174532042608,1.5910841835869682,0.35,0.4111111111111111,0.35555555555555557,0.342428605302042,0.4001623376623377,0.33313550249034124
15,1.5495909134546915,1.4705499132474265,1.5482349978552925,0.3547619047619048,0.4,0.35555555555555557,0.3508384969458826,0.37765411785019626,0.3182822924202235
16,1.4839107808612642,1.5233054889572992,1.547308177418179,0.40476190476190477,0.37777777777777777,0.3111111111111111,0.3991878078595829,0.3462810337810338,0.25426413255360625
17,1.575910250345866,1.4897253341144985,1.4948389689127604,0.34523809523809523,0.4111111111111111,0.3888888888888889,0.3371826284867911,0.39437939644100206,0.3636286540066716
18,1.4808667285101755,1.4292977386050754,1.5089954164293078,0.4142857142857143,0.4777777777777778,0.37777777777777777,0.41440959334691757,0.4929576596243263,0.3442776120794697
19,1.4401905025754655,1.4076322396596272,1.5170657237370808,0.4261904761904762,0.4222222222222222,0.34444444444444444,0.4184002283280577,0.42086405529953913,0.3386380420974579
20,1.404501435870216,1.4711404535505506,1.448841651280721,0.45,0.4,0.4,0.4508953183577851,0.38376068376068373,0.3673400156082334
21,1.3543045804614113,1.3835201806492277,1.3714698261684841,0.4928571428571429,0.5222222222222223,0.5333333333333333,0.4877263858355983,0.5129187629187629,0.5291542628879654
22,1.3166155281521026,1.3173659099472894,1.385833994547526,0.5023809523809524,0.4777777777777778,0.45555555555555555,0.5053332008369779,0.47203963430471146,0.42971941542918235
23,1.210849336215428,1.41304415596856,1.452346568637424,0.5404761904761904,0.4444444444444444,0.4,0.5372914614027694,0.41533328627649113,0.3860305958132044
24,1.2190910362062,1.4634184175067477,1.3794007685449388,0.5476190476190477,0.4444444444444444,0.5111111111111111,0.5462292044513585,0.4270986895986897,0.48746703488082793
25,1.2817814929144724,1.252156098683675,1.3505275196499296,0.5095238095238095,0.5,0.5,0.5052031322719138,0.4928185992718513,0.4787617975117975
26,1.156751309122358,1.2708090583483378,1.3675873637199403,0.5785714285714286,0.5444444444444444,0.45555555555555555,0.5757085797159747,0.561729490079982,0.4468078693741207
27,1.139875096366519,1.308143929640452,1.2988169484668308,0.5785714285714286,0.5222222222222223,0.5111111111111111,0.5763110290271974,0.5262095798937905,0.5142933801757331
28,1.0952334432374864,1.2586955547332763,1.265364318423801,0.5880952380952381,0.5111111111111111,0.5222222222222223,0.5876343151353507,0.513960113960114,0.5153880070546737
29,1.0632186651229858,1.2233889897664387,1.2776927457915412,0.5928571428571429,0.5777777777777777,0.5555555555555556,0.591996527626404,0.5879607063636102,0.5521604938271605
30,1.014743721485138,1.2211007767253452,1.2504814412858751,0.6428571428571429,0.5444444444444444,0.5777777777777777,0.6417826742741131,0.545594062346009,0.5680731887349535
31,1.0376808580898103,1.2755420393413968,1.2520186132854885,0.6023809523809524,0.5666666666666667,0.5666666666666667,0.6006887038900088,0.5571815601974003,0.5551075268817204
32,1.0085818398566473,1.1904164301024542,1.202444283167521,0.6404761904761904,0.5666666666666667,0.5777777777777777,0.6390525193607787,0.5668753858364936,0.5751088069636456
33,0.9017511149247487,1.2396292951371934,1.248335940970315,0.6880952380952381,0.6,0.6,0.6856598049207231,0.5910262676391709,0.5911832611832611
34,0.93542046887534,1.2208648085594178,1.1876679605907865,0.6619047619047619,0.5888888888888889,0.6111111111111112,0.6609217055922393,0.5920809574869642,0.611408901284125
35,0.8464034872395652,1.2693479696909586,1.2159360726674397,0.6761904761904762,0.5888888888888889,0.5888888888888889,0.674824509856706,0.5805782975958415,0.5852795412425464
36,0.8101410474096026,1.2528861694865756,1.1937729875246683,0.7214285714285714,0.5666666666666667,0.6111111111111112,0.7201371381266836,0.5673265023265023,0.6138331244004214
37,0.8192385384014674,1.2680691732300653,1.2222943080796136,0.7333333333333333,0.6,0.5777777777777777,0.7335347272707983,0.6010055304172951,0.5750667159565118
38,0.8022680328005836,1.2610825856526693,1.2196003821161059,0.719047619047619,0.5888888888888889,0.5888888888888889,0.7183194509975417,0.5887826394925786,0.5865347018572825
39,0.8023019552230835,1.2815869039959378,1.2430813398626115,0.6880952380952381,0.6,0.6,0.6887452012080378,0.5955329919395383,0.5996949891067538
40,0.7661003257547107,1.2699392437934875,1.2173676523897383,0.7357142857142858,0.6,0.6222222222222222,0.7337984135111902,0.5938843101343101,0.6197038255861785
41,0.7985742109162467,1.2516882207658555,1.1867586076259613,0.7309523809523809,0.6111111111111112,0.6111111111111112,0.7304529736128327,0.6088791875429806,0.6123060415051517
42,0.793363618850708,1.2551395932833354,1.195664522382948,0.719047619047619,0.6,0.6111111111111112,0.7197808199587885,0.5964933759051406,0.6117097701149424
43,0.704043669076193,1.2550168567233615,1.1870653688907624,0.7595238095238095,0.5888888888888889,0.6222222222222222,0.7589178222038977,0.5876221001221001,0.6254423305035095
44,0.7471505255926223,1.2561564220322503,1.1878692428270976,0.7619047619047619,0.5777777777777777,0.6222222222222222,0.7631774796325818,0.5757475857475857,0.6254423305035095
45,0.7488466592062087,1.2558922476238674,1.1877458221382564,0.7404761904761905,0.5777777777777777,0.6222222222222222,0.7402415964226114,0.5757475857475857,0.6254423305035095
